index,상호명,상권업종소분류명,시도명,시군구명,행정동명,지번주소,도로명주소,층정보,경도,위도
7033,CU,편의점,서울특별시,용산구,한남동,서울특별시 용산구 한남동 726-370번지 ,"서울특별시 용산구 한남대로 204, (한남동)",1,127.0028844,37.54606723
7034,CU,편의점,서울특별시,서초구,내곡동,서울특별시 서초구 내곡동 77번지 ,"서울특별시 서초구 헌릉로8길 58, (내곡동)",1,127.0636348,37.45433239
7035,GS25광운선곡점,편의점,서울특별시,노원구,월계1동,서울특별시 노원구 월계동 469-28번지 ,"서울특별시 노원구 광운로 5, (월계동)",1,127.0571967,37.61845278
7036,GS25반포행복점,편의점,서울특별시,서초구,반포1동,서울특별시 서초구 반포동 724-26번지 ,"서울특별시 서초구 사평대로55길 82-14, (반포동)",1,127.021762,37.50782237
7037,CU도곡점,편의점,서울특별시,강남구,도곡2동,서울특별시 강남구 도곡동 416-5번지 ,"서울특별시 강남구 논현로38길 32, (도곡동)",1,127.0442401,37.48535382
7038,CU,편의점,서울특별시,강동구,길동,서울특별시 강동구 길동 393-4번지 ,"서울특별시 강동구 진황도로47길 74, (길동)",1,127.1409285,37.53777226
7039,CU방이오피스점,편의점,서울특별시,송파구,방이1동,서울특별시 송파구 방이동 187-8번지 ,"서울특별시 송파구 양재대로71길 14, (방이동)",1,127.1254258,37.51069881
7040,GS25,편의점,서울특별시,용산구,이태원2동,서울특별시 용산구 이태원동 226-3번지 ,"서울특별시 용산구 회나무로26길 12, (이태원동)",1,126.9912148,37.53951662
7041,GS25센티움점,편의점,서울특별시,마포구,성산2동,서울특별시 마포구 성산동 590-1번지 ,"서울특별시 마포구 월드컵로36길 14, (성산동)",1,126.9030194,37.56595059
7042,CU강동올림픽로점,편의점,서울특별시,강동구,성내2동,서울특별시 강동구 성내동 112-65번지 ,"서울특별시 강동구 올림픽로 598, (성내동)",1,127.1223937,37.53489676
7043,위드미신월2호점,편의점,서울특별시,양천구,신월1동,서울특별시 양천구 신월동 98-41번지 ,"서울특별시 양천구 곰달래로5길 64-1, (신월동)",1,126.8317258,37.53503695
7044,세븐일레븐보문점,편의점,서울특별시,성북구,보문동,서울특별시 성북구 보문동1가 23번지 ,"서울특별시 성북구 고려대로1길 57, (보문동1가)",1,127.0184837,37.58794331
7045,세븐일레븐답십리역점,편의점,서울특별시,동대문구,답십리1동,서울특별시 동대문구 답십리동 493-4번지 ,"서울특별시 동대문구 천호대로 305, (답십리동)",1,127.0545198,37.56592759
